image_path,emotion,dominant_emotion,age,gender
datasets/human_images/gender_dataset/men/544.jpg,"{'angry': np.float32(0.0013954296), 'disgust': np.float32(2.406415e-13), 'fear': np.float32(0.002674508), 'happy': np.float32(0.0045992015), 'sad': np.float32(0.06919878), 'surprise': np.float32(6.208065e-05), 'neutral': np.float32(99.92207)}",neutral,22,"{'Woman': np.float32(0.030153979), 'Man': np.float32(99.96985)}"
datasets/human_images/gender_dataset/men/574.jpg,"{'angry': np.float32(1.5307398e-10), 'disgust': np.float32(7.0020296e-17), 'fear': np.float32(2.2439578), 'happy': np.float32(1.6314173e-06), 'sad': np.float32(97.75142), 'surprise': np.float32(7.8627285e-11), 'neutral': np.float32(0.004620441)}",sad,37,"{'Woman': np.float32(0.029770575), 'Man': np.float32(99.97023)}"
datasets/human_images/gender_dataset/men/499.jpg,"{'angry': np.float32(0.037460785), 'disgust': np.float32(1.9677004e-13), 'fear': np.float32(5.040072e-07), 'happy': np.float32(0.00035699114), 'sad': np.float32(0.0063281097), 'surprise': np.float32(3.6756426e-06), 'neutral': np.float32(99.95585)}",neutral,30,"{'Woman': np.float32(0.036485046), 'Man': np.float32(99.96351)}"
datasets/human_images/gender_dataset/women/665.jpg,"{'angry': np.float32(2.1320394e-08), 'disgust': np.float32(1.2064547e-19), 'fear': np.float32(2.516763e-10), 'happy': np.float32(99.992966), 'sad': np.float32(6.932742e-08), 'surprise': np.float32(0.005699617), 'neutral': np.float32(0.0013427762)}",happy,32,"{'Woman': np.float32(99.99998), 'Man': np.float32(2.7306289e-05)}"
datasets/human_images/gender_dataset/women/42.jpg,"{'angry': np.float32(0.007139122), 'disgust': np.float32(1.5461461e-07), 'fear': np.float32(0.074434616), 'happy': np.float32(47.30044), 'sad': np.float32(0.03955508), 'surprise': np.float32(0.008225938), 'neutral': np.float32(52.570206)}",neutral,30,"{'Woman': np.float32(99.999985), 'Man': np.float32(1.2135156e-05)}"
datasets/human_images/gender_dataset/women/80.jpg,"{'angry': np.float32(0.1126326), 'disgust': np.float32(0.0018500753), 'fear': np.float32(0.7926572), 'happy': np.float32(41.61257), 'sad': np.float32(1.047277), 'surprise': np.float32(0.53359085), 'neutral': np.float32(55.89942)}",neutral,29,"{'Woman': np.float32(99.989044), 'Man': np.float32(0.010953219)}"
datasets/human_images/gender_dataset/women/218.jpg,"{'angry': np.float32(9.844596e-05), 'disgust': np.float32(5.4962714e-15), 'fear': np.float32(0.0066721803), 'happy': np.float32(9.491395e-05), 'sad': np.float32(1.1297333), 'surprise': np.float32(0.027308159), 'neutral': np.float32(98.8361)}",neutral,30,"{'Woman': np.float32(99.96017), 'Man': np.float32(0.039837446)}"
datasets/human_images/gender_dataset/women/545.jpg,"{'angry': np.float32(0.0010576003), 'disgust': np.float32(2.8103578e-12), 'fear': np.float32(3.5593288e-07), 'happy': np.float32(95.439186), 'sad': np.float32(0.00090030674), 'surprise': np.float32(0.001685236), 'neutral': np.float32(4.5571733)}",happy,26,"{'Woman': np.float32(99.95427), 'Man': np.float32(0.045734715)}"
datasets/human_images/gender_dataset/women/784.jpg,"{'angry': np.float32(0.07153413), 'disgust': np.float32(2.0897906e-07), 'fear': np.float32(0.215396), 'happy': np.float32(56.559914), 'sad': np.float32(0.027473308), 'surprise': np.float32(0.0062915785), 'neutral': np.float32(43.11939)}",happy,39,"{'Woman': np.float32(87.767494), 'Man': np.float32(12.232511)}"
datasets/human_images/gender_dataset/men/204.jpg,"{'angry': np.float32(0.33380777), 'disgust': np.float32(0.0032975296), 'fear': np.float32(6.9404154), 'happy': np.float32(62.075066), 'sad': np.float32(27.579687), 'surprise': np.float32(0.080448665), 'neutral': np.float32(2.9872782)}",happy,42,"{'Woman': np.float32(0.058731005), 'Man': np.float32(99.94127)}"
